Date,Close/Last,Volume,Open,High,Low
03/03/2020,$21.2291,4671313,$21.6813,$22.2097,$21.0411
03/02/2020,$21.539,4008515,$20.6905,$21.5898,$20.0198
02/28/2020,$20.5584,8619170,$20.9344,$21.9049,$19.9181
02/27/2020,$22.1335,5600611,$22.6264,$23.1396,$21.7982
02/26/2020,$23.3378,3474203,$23.7392,$24.0542,$23.0177
02/25/2020,$23.4851,3446498,$24.9231,$24.9968,$23.4582
02/24/2020,$24.5471,3682588,$25.2889,$25.3397,$24.0949
02/21/2020,$26.2798,2231833,$26.7777,$26.8336,$26.0206
02/20/2020,$26.9047,2691732,$27.1029,$27.1334,$26.5694
02/19/2020,$27.1029,2794103,$26.8793,$27.2299,$26.8031
02/18/2020,$26.8133,2605127,$26.5745,$26.9047,$26.3611
02/14/2020,$26.8692,2107587,$26.9047,$27.2096,$26.7421
02/13/2020,$26.7015,3426537,$26.3966,$26.8438,$26.1324
02/12/2020,$27.0826,3484352,$26.793,$27.1944,$26.7167
02/11/2020,$26.5541,4402397,$26.4728,$26.981,$26.422
02/10/2020,$26.4779,2699991,$25.9139,$26.5084,$25.6903
02/07/2020,$26.2289,4722804,$26.6761,$26.6761,$25.9139
02/06/2020,$26.8539,3335844,$25.9952,$26.8946,$25.9444
02/05/2020,$25.8072,3719225,$26.1578,$26.6202,$25.7107
02/04/2020,$25.9292,2963234,$25.4058,$26.1578,$25.1213
02/03/2020,$24.9891,1654901,$24.791,$25.1009,$24.6995
01/31/2020,$24.7808,2345623,$24.9637,$25.0261,$24.4658
01/30/2020,$25.0908,2403815,$24.5928,$25.1365,$24.4709
01/29/2020,$24.8723,1413478,$24.8723,$24.9993,$24.6639
01/28/2020,$24.7351,2141721,$24.6487,$24.9993,$24.5674
01/27/2020,$24.4658,3113607,$24.7249,$24.8418,$24.3743
01/24/2020,$25.3956,2001064,$25.6853,$25.9342,$25.167
01/23/2020,$25.5938,1109049,$25.416,$25.6421,$25.0857
01/22/2020,$25.3753,1371102,$25.1517,$25.4668,$25.1517
01/21/2020,$25.045,2735521,$25.482,$25.4922,$24.8469
01/17/2020,$25.5786,3295650,$26.168,$26.168,$25.4312
01/16/2020,$26.0867,2253620,$25.919,$26.2848,$25.7564
01/15/2020,$25.7107,1979812,$25.7666,$25.985,$25.609
01/14/2020,$25.8428,3322667,$25.3194,$26.1832,$25.3093
01/13/2020,$25.3194,3414273,$25.2483,$25.4007,$24.7351
01/10/2020,$25.1568,2466082,$25.2127,$25.3753,$25.106
01/09/2020,$25.2127,3628422,$25.5074,$25.5379,$24.9078
